irc.servercentral.net Tue Dec 26 23:43:09 2006
#forumchat 7 www.forumchathosting.no JULETILBUD 30% av pÂ alle pakker fram til Desember er over..!!! :)
#Pcgeeks 15 www.forumchathosting.no webhotell/domener :) ny side :)
#vtm 2
#toaster 1 need for slices | http://www.deftek.net/gallery/albums/userpics/000afwc8.gif
#swebin 4 Welcome to Swebin! This is only an info channel, join our main channels at: For DVD join: #alt.binaries.dvd.swedish | For TV join: #alt.binaries.tv.swedish
#em2004 5
#fcunited 5 http://en.wikipedia.org/wiki/FC_United_of_Manchester
#sunnyside 2 8,12 sluts a.k.a. sunnshin 
#umbraco 8 umbraco.. as in umbraco.org chat ;)
#merÂker 8 God Jul :)
#HostileCable 6 Have you had your 'tang today?
#35+Friends 5 whos hiding  Liggle!!! 
#35+home 5 Never underestimate the Power of a Nipple Orgasm!!!
#do.not.fucking.whois.me 8 http://foto.arcor-online.net/palb/alben/21/3894021/1024_3066353363643938.jpg
#DSSHack 4
#balkan-ogame 4 mrak ....
#xboxmods 7 MERRY XMAS!!! Blaster360 On Sale Soon!!
#hegra 9 ÿnsker dere en fin jul :D GOOOOD JUL! :D 
#Âsen 7 God jul!
#chanfix.no 5 READ FAQ @ www.efnet.info/chanfix FIRST, then state channel name & problem and wait for help. No msg, paste or idling.
#ltnx.net 5
#teenlounge 9 Welcome to the #teenlounge enjoy your stay remember chat in chan no msgin without askin first
#pro-skilled-noobs 8 Welcome to the #pro-skilled-noobs enjoy your stay remember chat in chan
#mircsetup 8
#chatbuddies 9 Welcome to the #chatbuddies| Merry Christmas Everyone
#hockey2 9 RIP James Brown | last minute gift idea: http://www.youtube.com/watch?v=1dmVU08zVpA
#t4d 10 Servrar Online : 3 |  Obehˆriga pÂ venten ? hÂll koll och s‰g till .. | GOD JUL !!
#Server1 7 Map: cs_office CT: 8  T: 9
#server3 7 Map: de_dust2 CT: 0  T: 0
#klient.scripting 6 Klient.Scripting.Open();
#xboxzone 4 Open again... stupid bots.
#earth 10 ... And the Lord said unto John, "Come forth, and recieve eternal life." ... But John came fifth and won a toaster. 
#r00t 6 4albanians own this. :P 
#alt.binaries.tv.swedish 4 Use !help for commands | Scene releases only | http://bluetrack.tx-shells.net/all_fills.php?id=1
#liyeos 2
#gigabit.nu 8 PREEMPTIVE: Gott nytt Âr allihop!
#≤≥ 3
#Dragene 6 Pigs got wiggly tails, pointy ears and cloven hooves! Like Satan! Eat Jesus food instead! Grill a Christian! 8 dager til
#devo 1
#rgallery 7 http://hackathon.dk/  \o/ It's purple!
#asker 11 makan
#biffen 6 gasad kosherskinka ftw
#vodka 4 VODKAAAAAAAAAAAAAAAaaaaaaaaaaaaaaaaaaaaaaaa
#frobo 6
#HIJACKED 3
#rofl 4 http://www.pbfcomics.com/?cid=0PBF59011BC-Not_Today_Little_One.jpg#60
#smil 5 ny telefon :) Sony Ericsson W810i gj¯r jobben
#saunalan 4 Saunalan@EFNet - where all the mirkkers mirkkar! || Snart kommer snˆn!
#greenline 7 www.greenlineradio.com  - the chan i moved to : irc.mixxnet.net #greenline
#stop1984 6 4(/)8 http://stop1984.org/ 9l7 EU approves data retention rules: 8http://news.bbc.co.uk/2/hi/europe/4527840.stm
#disabled 4 DisAbled Folks Welcome!
#nokia 3 For appz and other stuff join #mediaplace
#userguide 7 NO HELP WITH hacks ,cracks movies,mp3's serials no msging or idleing in this chan
#pulklan 4 N‰sta pulk pÂ sportlovet? | under pulklan sÂ ska vi ta ˆver v‰rlden
#bamargera 3
#rakkestad 4 http://ircnick.net/index.asp?ch=rakkestad&ne=EFNet
#mysen 4 http://ircnick.net/index.asp?ch=mysen&ne=EFNet - hva er det som smeller?
#alumni 4 DaMeda - vi fÂr penger, du fÂr det du trenger
#hjemmebrent 2
#rÂde 2
#stayonline 2
#verdensspeilet 2
#¯stfold 2
#krÂker¯y 2
#k¯la 2
#fitte 2
#fl¯rt 3
#club-honda.org 6 God Jul hilsen club-honda
#umdemu 4
#matematik 7
#hio 4 .
#cpn 5
#vbnorge 8 debug.print "Norsk Visual Basic kanal" | http://msdn.microsoft.com/vstudio/express/vb/default.aspx
#nesna! 6 oh my god, it's the funky shit!
#surge 4
#Man-Utd 5
#rus-chat 6 I  wanna wish u a Happy New Year HOW!HOW!HOW!:) 
#stickie 5
#dvdg 4 Glade jul...
#server4 5 #Server2 #Server2 #Server2 #Server2 #Server2 #Server2 
#bitchx-dev 4
#sd 10
#grindcore 4 http://www.obscene.cz/OE06/fans/d0635_047_big.jpg || ceph vid : http://www.youtube.com/watch?v=yjcmZNNQkZo
#4x 11  -//- Join #Forex
#guts 6 I feel dead. Vi minnes deg James Brun | http://www.peekaboo.co.uk/
#slovensko 4
#ttr-coop 2
#filmbits 3 www.FilmBits.net |Status: ONLiNE!! |≈pen signup! | RADIO ONLiNE | Offisiell kanal: #filmbits @ irc.after-all.org
#butt_fucking_sheep_rapers 3 http://i.bluelight.ru/g//502/medium/digDuality.jpg
#revolutiondev 2 Please join #wiidev on blitzed
#acww 2 Nintendo WFC hub stats are back... but for how long? Wifico is still up, though :)
#MP:H 2 Nintendo WFC hub stats are back... but for how long? Wifico is still up, though :)
#mkds 4 Nintendo WFC hub stats are back... but for how long? Wifico is still up, though :)  
#and1 2
#CapeBreton 3 /msg me and i'll add u to my msn -- reggiep00
#GhostRecon2005 2
#divx-4friends 1
#LEITAO 6
#neo-geo 3
#mule 3
#xbox360hacker 3
#psphacker 3
#xenonhacker 3
#hommelvik 11 An Apple a day... Keeps Windows away
#nintendoxtreme 5
#ingensteder 3 http://www.dagbladet.no/kultur/2006/09/20/477370.html
#2ika 3 2IKA Pwns
#sommerfestivalen 3
#ktr 3 www.gathering.org | /msg phunky_ !help | /msg phunky_ !info category | categories: Vanlig kategori 1, Vanlig kategori 3
#mlug 4
#tg.phunky 4
#nux.event 3
#nmgc 3
#jail 6 welcome to channel Jail  - free bread & water
#weedy 6
#kongsberg 8 Pr¯v heller #kongsberg pÂ Undernet ./server eu.undernet.org
#dvdcovers 5
#stargate.no 2
#dyrenett.no 7 - www.dyrenett.no  Stats: http://217.118.60.47/irc/ Goooood Juuuul !  TINE ER SÿT 
#les.sims.fr 3
#kaien 6 God Jul med ein l og Godt NyttÂr!!! :)
#dyrenett 4 #dyrenett.no
#los 2 http://cyber-wars.com/?ref=100106 ..Please no more private ..chat on the channel!
#HB|ConneX 2
#hansnes 4
#radiotroms¯ 3
#pondus 3
#T&T 3
#‡πë€©€û€©‡πë 3 Welcome to our Castle.  ‡πë€©€û€©‡πë . Keep it royal
#wecare 2 We Care ;-)
#ibestad 4
#PaulinaRubio 4
#profiboksz.hu 2 UtÛirat: r·m lehet sz·mÌtani. Gyapj˙!!!!
#uin4d.de 2
#HajotaRecords 2
#pokeranonymous 2 1,7 Welcome to #PokerAnonymous | Website Coming Soon! 
#schlafzimmer 2
#Morph 1
#linux-il 4
#nickserv 6 There are no nickname registration services.
#israel20+ 6
#glide64 4 #Glide64 - N64 graphics plugin powered by 3dfxô enhanced hardware | Glide64 Wonder++ released!
#kanal 3
#klanen 3 Velkommen til #klanen & #enga |
#casablanca 6
#rabat 7
#pong 6
#koz 4 koz
#yadnb 2 http://www.dogsonacid.com/showthread.php?threadid=450834&cache=1 | ÍÓÏÏÂÌÚËÏ
#ostcrook 1
#hellvik 4
#tg09 4
#tg08 5
#Dalane 4
#bryne 4
#csliga 4
#cstrike 4
#wiredpatrol 2 JArle loves bunnies :(
#sesso 7 theory
#darkstarpromotion 2
#snk 3 <gregsnk> i got a happy ending for you force | Force - getting sonned every xmas since 1979
#Programmation 3
#hÂrten 3
#canopy 2
#chrtalk 3
#cracksv 3
#kvirc 3
#brunla 7 baaaaaaaaaaaaaaah........
#minhembio 3
#gay24/7slave 2
#gaydogsex 2
#RiKo's 2 in 1 ear , and out ... of the other
#waz 2
#sjodpark 4
#msdn 3
#genia4 2
#anvilania 2
#carders 4
#monidle 4
#it98 3
#OLSCHOOLRAP 4
#tq 5
#mudbox3d 2
#designfreaks 3
#fongu? 3
#ezines 2
#aspnet 4
#rolvs¯y 2 !!!ESTA LOCA!!! #Rolvs¯y, kampen mot msn! TE QUIERO PUTA!!!
#xmas 5 Christmas 2006!
#unixisnot4dummies 3 Merry X-Mas
#snus 4
#garbagetown 3
#LeM 2
#rapidruderides.com 3
#comeinfindout 2
#xyz 2
#openlan 1
#Hellshome 2 KEY ! | DAG noch am Leben ?
#treff 1
#jOAKIM-_digger_Trampe_over_alt_pÂ_jord.no 5
#iluTrampe 5
#^_^ 3
#24.no 4 #24.no ; S06E01 airs in January ; mirrors will be up!
#rosti 2
#oh.no 4 dunno
#ville_secret 2
#aquarium 3
#v-amp 2
#behringer 2
#irc.efnet.pl 15 Jezus Cie kocha! Analnie!
#jOAKIM-_pewler_Trampe_i_Hugo 5 jOAKIM- digge og pottla me Trampe i Hugo <3
#insel 4
#Shelter 11 Support bacteria - they're the only culture some people have.
#config 7 #config | pr0mpt i still need pu**y
#robotbebop 3 http://jimhillmedia.com/blogs/jim_hill/archive/2006/12/19/toon-tuesday-american-dog.aspx
#blackice 4 0,1 Don't approach a goat from the front ; ==>0,14 a horse from the back, or a fool from any side. . 3 <==5
#˜ˆ¯ÈÔ 2
#syncope 5 http://tinyurl.com/y6ogqr | G≈ UR KYRKAN! http://tinyurl.com/vsl5f - http://tinyurl.com/uf4jx <- PAYDAY | GOD JUL !! <3
#gaydogslave 4
#zephyr-dev 5
#cocklo 3 physics suxxs
#strops 3
#20+dallas 3
#yogiya 2 #hhr-france <-- nobody there nigga
#phreakers 3
#rdu 3 Boomer Sooner
#kukry 5
#beck-crew 8
#Hvarnes 5
#gormie 6
#dmusyd 5 dmusyd for de voksne! | bredsaal has kicked hunterkil from #dmusyd (Du har en kanal du hellere vil vÊre i...)
#alias.no 7 < 0 >
#playboard.no 4 .: www.playboard.no :.
#ANIME-XTREME 4
#markthomas 4 Ask a ninja about xmas: http://www.youtube.com/watch?v=MAglt4KPIH4&eurl=
#smoroyet 2
#team-elephant 3
#nirvanix 3
#smekken 5 god jul!
#mIRChelpdesk 4
#gaysatan 7 Promoting the spread of AIDS is not encouraged here. Those seeking AIDS should look elsewhere.
#gentoo.de 2
#punkmp3 3 gay
#gaycops 3
#guichan 2
#efnet.demon.co.uk 19 #$&*(#*(
#efnet.xs4all.nl 25 Welcome to #efnet.xs4all.nl - Speak English here - We are not here 24/7, so be patient if you ask a question
#freebsduk 5 Jokes about polonium 210 will be half as funny 138 days from now
#nagios 4 www.nagios.org | www.nagiosexchange.org
#micromachines 3 Fan vad du ska vara pr‰ktig dÂ!
#trackmania 4 Och fel fÂr det bli!
#Troops_Of_Doom 4 Svintrˆttusaurus!
#dftfd 3 You can run but you¥ll die tired!
#plz.die.whois.whore.k.thx 5
#services.eu 3
#guster 4 www.guster.com
#coy 3
#clique 4
#alexus 4 http://alexus.org/ http://vBulletin.alexus.org/ http://alexus.biz/
#hkm 3 7,1 Visit us at: irc.rizon.net Join #hongkong-movie | Looking for supplier of asian media
#titlerace 3
#cyanmoose 3
#HundvÂg 6
#Buckaroo 2
#sonen 6 Velkommen til Sonen pÂ EFnet og irc.homelien.no - F¯lg med pÂ Sonen hver natt! Programledere finner du pÂ #TV2
#torrentleech 14 main chan is 4 #aivanet  not official www.torrentleech.com site !!!
#eurohouse 6
#piratgruppen 5
#Ârhus 5
#aarhus 5
#EuHosting.dk 4
#Prat.no 6 Velkommen til #prat.no - Ha en fin dag :)
#kray 5 Kray 1.7 OB is out for all new and old owners!
#ssi 3 www.impreza.nu
#kirkelan 3 kirkeLAN er over for i Âr || http://uport.no/kirkelan || Vi forventer fullt oppm¯te i vinterferien! ||
#kjipern 5 God Jul :)
#Nondual 4 Keep The Change! -- even if you're inside the candystore, you're not eating any candy, just saying "mine" and that's abo
#calibra 5 Oxcyder Calibra http://www.calibra.no/showcase.aspx?id=103 TIL SALGS!
#red5 2
#sinn.soul 2
#C4F 2
#flashback.se 5
#odyssey 3
#phat 3
#columbine 3 our brave brothers are no longer with us
#dutchmasters 3 GOT TEH SKILLZ?
#pro-tools 3 Pro Tools Discussion Channel - NO WAREZ
#svik 2
#inc 2
#reality 2 GOD JUL!
#dioder.no 4
#pese.no 4
#debug.kozebox 5
#boksenav 5
#∆ 6 -WELCOME- Chicken finger eatun! Chicken stealing. Adna crum! Hjardna kkhhrraum meateating bitches on the hoedown ever se
#topelite 6
#pt-check 3
#tv2 8 Vi i #TV2 pÂ EFnet ¯nsker deg og dine en fortsatt god jul
#EuShells.Home 6
#aibrclan 4 http://www.postalnetwork.org/cgi-bin/dl/download.cgi?ID=427&filename=escape.zip
#wi-party 4
#veden 3 www.veden.net
#skatepunk 3 www.skatepunk.org
#tvguide 6 !tv <program>
#infected.no 7 God Jul til alle =)
#erowid 3
#rikskriminalen.nu 4
#CHi-ROCK 5 cHi-ROCK CONNECTION !!! We're on a fag break! Open between half past 10 and 10:30.
#n-sim 5
#alias-tv 5 Y = R3 / 3     
#chalmers 10 God jul!
#thesims 6 Have a simfully great day!  
#1337TM 6 3,5 - 1337tm - | Julebord 28. desember. Velg venue I DAG @ http://interaktiv.vg.no/restaurantguiden 
#ebay.de 8
#summerparade 6 www.summerparade.no
#radiofÊskslok 7 http://www.isketch.net/isketch.shtml  fuck quiz lzzm? | jOAKIM- fÂr ein fede kid 20. juni! :D
#Levanger 17 www.levanger.nu || GOD JUL!
#homelien 23 God Jul ho ho ho irc.homelien.no
#haua 6 anna_ 's bursdag! anna_ er nÂ 17
#Verdal 9 Hehe --> http://www.dumbvideos.com/funnycatvideos.html || Tja, smart?:  http://www.youtube.com/watch?v=tBe-i5eSKT8  
#jessheim 13 lov Â si god jul jessheim nÂ vel :-D
#the-lan 8 Ja, vi har noe spennende pÂ gang! F¯lg med pÂ nettsiden vÂr, www.thelan.no
#metalmaniacs 3 http://www.bangkokpost.net/breaking_news/breakingnews.php?id=108576
#les 12 RIP Ivar Formo
#pcoldies 5 It came from the monkeys
#tyx-shells 2 www.tyx-shells.de
#Nannestad 8 Min kjÊre Mamma er ikke blant oss mer. Fred over hennes minne. :)
#lasertag 2 N‰e nu bojkottar vi det h‰r n‰tet. skriv: /server -m irc.laserdome.tk -j #lasertag
#trottlescript 6 Ensom, ensom, sÂ jeg blir ensom. Ensomheten den gj¯r meg spr¯! |-| Luxus Leverpostei - Ensom |-| Takk for meg pÂ mIRC :)
#ifi 15 Grattis med dagen, Jesus!
#GateBil 8 www.dioder.no
#gatounet 8
#css.se 6 Grattis pÂ 15-Ârsdagen, webben!
#svarstad 6
#h¯n 5 GOD JUL!!!!!
#hjalla 4 Velkommen til hjalla | god jul alle sammen
#flushcom 4  Min kjÊre Mamma er ikke blant oss mer. Fred over hennes minne. :)
#calculus2 3 calculus, mathematics, euclidean geometry, matlab/mathematica, free homework help | saddle points are cool
#gayboots 1
#gyn01d 4 welcome to the gynoid corporation | the music of gyn0id
#CatsOnMars 1
#bugtraq 1 Indonesia Shell Hosting | http://IDShells.com | irc://irc.idshells.com/#idshells
#basketweaving 3
#shellprovider 1
#idshells.com 1
#idshells 1
#RecoilClan 3
#ducati 3
#functionabuse 2
#sshh 2
#trailerparkboys.org 2 www.unsanitary.org | www.sharkbomb.com | www.ferality.net
#flamed 1
#trolls 2
#m4a-tv 3
#ELEAT 1
#tazzy 4 http://cgi.ebay.co.uk/ws/eBay/ISAPI.dll?ViewItem&item=270065085217
#gata 2
#mndnb 4 sex
#Piper's_Pit 4 WWE's New Year's Revolution Sunday january 7 , Tna's Final resolution Sunday january 14.
#darkcenter 3 Welcome to #darkcenter!
#Invision 2
#iturf 2
#skeptic 2
#haze 1
#redvsblue^ 2
#ibmaix 2
#vidrip 2
#sistums 5 Lamo says, "Damn, I ate some shit sawce on that one."
#abradd 5
#theskankeststudonthenet 2
#xbox_help 10 This channel is NOT open! join #xboxrocks for help!
#xbox_4_all 10 This channel is NOT open! join #xboxrocks for help!
#vistawarez 2
#coral 4 the new posse crew ensemble album.. not in stores near you.
#rm-rf 4 let¥s rm -rf the niggers!
#gamemp3s 3
#aolscene 2
#labernrum 1
#azalea 3 whatever... | sex
#anti-idle 1
#Wolfsschanze-spam 1
#darkside 1
#Piratebay 3
#ispnordic 3
#B-O_TT-y 1
#crystal 5 IT'S  FRICKIN  X-MAS
#MoonLite 2 11,1: * TRiBuTe To THe LuNaR LiGHT * 9|| 3Channel Bridging 7 IRC networks (IRCNet, EFNet, MindForge, IRCHaven, Anthro
#Falkor 2
#pee 3
#telnetd 3
#veenendaal 4 The Return Of The Veenendaalers [http://www.mozilla.org/projects/mozbot]
#chuckytest 1
#69 3 69 huh huh huh
#pule 3
#vega 2 God jul og Godt nyttÂr
#trout 3 Bored?  Try .pinata!
#thaipuben 2 God jul
#iiiiiiiiiii 1
#bodog 9
#n64emudev 2
#TCO 3 4The Chaos Order | ALON - I want the BOSS BF-3 guitar effect - if it's over 120$ don't buy
#malware 3
#exploited 3
#amd64 3
#ikon 2
#SI-FILL 3
#fdp 1
#I-Division 1
#jjrocks 2
#GaJaHMaDa 1
#ChatAway 2
#p-omega-s 3
#padang 10
#alt.binaries.bluray 2
#campaign 1
#alizee-usa 7
#Toutite&Manu_friend 10
#o-comics 1
#ogaming 1
#magicworkstation 1
#o-invite 1
#o-league 1
#o-team 1
#o-trade 1
#O-Trivia 1
#O-Auction 1
#o-ruling2 1
#whorelover 1
#nobodylikesonions 1
#The.Old.Scene 2
#jaws 3
#attack 2 18:00 <+quannum> i got the dick, i make the rules
#sconex 2 www.sconex.com
#iwin 4 #iwin
#snagged 3
#todds 3
#30+cyberfriends 2
#irclub 3 Welcome to Irclub and Happy Holiday !!  q:) Merry Christmas &  Happy New Year
#ady2k 2 http://www.trance-energy.nl/te2007/trailer.html
#evilnet 1
#iafhawg 1
#BCStatus 1
#oit 4
#strm.net 1
#XiNGLiNG 1
#newbb 2
#uf.net 1
#IronHand 1
#wiredmonks 7 WiredMonks.net ~ Reading the bible of binary | Merry Christmas bitches! | WiredMonks encourages smoking
#Danish 2
#depvip 7
#gay-mp-asslickers 17 A salute to MP asslickers: rincewind, deton8r, avfc2k, HiH, st[3]rn, [WJD], typiod, N[u]ke, [mickey], Ravo_5002
#bilbon 1
#tuxshell 2
#bnc.no 2
#eurohost 2
#vietnorway 3 GOD JUL! (og for dere som ikke er interesserte, kan frigj¯ringen av Laos feires istede!)
#krisso 3
#www.playasclub.net 3
#MNQ 1
#ricky.martin.owns.you 1
#KoC 1
#KingsOfChaos 1
#AfterHoursDjs 1
#b00ze 1
#asatru 2
#gayviolentsex 3
#appdesign 3
#buuren 1
#GayLeather 1
#cm 2
#sexyell 3 For de EXTREMT sexy og spesielle<3
#civiltrial 3
#TRENDSETTAZ 1
#EM2008 1
#cip-intern 1
##judy 1
#panama 2 lol
#hardcoremp3 5
#Psow 2
#autism 4 http://www.autism-awareness.org.uk/ | http://www.autism-society.org/
#quickhosting 4
#grod 4
#co_lo 4
#ircsupport 4
#irc??? 4
#leetpeeps 1
#den_kule_kanal 1
#xbit 1
#moviequotes 2
#BOMB 2
#sundance 2 loms is gay
#thischannelnameisillegal 2 loms is gay
#someonepleasebemyfriend 2
#Jewloft 2
#hostamazing-staff 2
#iLLWiLL 2
#inso.org 2
#kiretest 3
#tampax 2
#lzyday 2 Monkeys aren't donkies!
#mapo 5
#jasminwagner 2
#bl¸mchen 3
#FuckSecurity 2
#sleek 3 is it truly possible for now if a team plays good football and wins ?
#cplz 3
#apathy 2 who cares?
#theprodigy 3 someone organise me full version of chicken invaders 3 (its for a chick haha)
#dirty-seven 3
#SPSnipers 8 9Bienvenidos al CLAN  4//8SPS4// 9COD2 4SPANISH 8PROFESSIONAL 4SNIPERS -  9,0http://www.spsnipers.com/
#theforest 3 The Forest - yes Wolf is alive, just busy
#sexymama 1 Svenna like farmgirl.... (og netgirl..) http://img135.imagevenue.com/img.php?loc=loc72&image=27764_hottie3ky.jpg
#segahub 6 #SegaHub Sucks #SegaDC ownz FTW
#test59 2
#euamiga 1
#oldfashioned 3 RIP:  James Brown, Papa Howie
#thescubastore 6
#RoccoPorn.com 1
#headrolling 1
#vsksmom 5
#efnetpro 4
#clagenfurth 3
#indiana 2 12Indianapolis, Indiana 1Chat room 3 ;)
#s-f 1
#VCDGear 1
#tampa 1
#m8 1
#fititis 1
#Prison.Break 1
#empires 2  [ Ancient Empires | Server: 2% - In process. Client: 0% - Stale. | Lizno Ping me
#MembershipTrainning 2
#alcoholicsanonymous 2
#netware 1 /join #Novell for NetWare info, support, tools, etc.
#ximian 1 /join #Novell for Ximian info, support, tools, etc.
#:D 6 ::: #:D - owners: Amantino & kreAtiv` ::: 
#hydrouk 2
#pspuae 2 HH live!! http://www.hydrouk.org.uk:4555/       -          ABTA code?  FKBJLCEAALCAAADK
#postgres 1
#madtv 2
#kevinspencer 4  Looking For Eps  s3e07, s2e18 , s1e08  | DVD to be released after the new year. Episode 8 of s1 will not be released! |
#ro.linux 1
#sbin 1
#Paula 1
#jonesdaadi.com 3 11|ß§*~`~*§ß|ß§*~-=+=- 12Pearheads in and out channel 11-=+=-~*§ß|ß§*~`~*§ß|
#simpsons-central 2 everyone comeback
#panda-mp3 1
#panda 1
#pandatest 1
#sagetv 4
#violation 1
#SaintsROW 1
#|circle| 1
#mpp 3
#fms97 1
#unixgeeks 3
#mafiaspace 1
#eterift 1
#drawde 3
#accessservers.us 1
#choppingblock 2 http://au.groups.yahoo.com/group/the_choppingblock/
#3doxtreme 5
#rym 1
#IGOT0WNED 4
#donttimeout 1
#da 1
#my.whois.sucks.so.stop.looking 1
#excelsior 1
#DVD-P-BOTS 2
#DVD-P 2
#dumps 2
#crabz 2
#tribal 1
#oes 2
#breakshot 6
#Elite-xbox 1
#shitloss 4 lost your shit? we're here for you.
#neworder 1
#gunky 1
#joydivision 1
#boingo 1
#insoc 1
#sheepondrugs 1
#p30pl3 12
#splash 3 THIS CHANNEL IS SUBJECT TO MARTIAL LAW UNTIL THE RETURN OF THE RIGHTFUL OWNERS - Your malevolent temporary dictator
#' 3
#fresj 5 Go jul folks!
#erde 2
#jungles.ru 2 0,11 ..:: welcome to www.jungles.ru channel :: good looking organization week on www.jungles.ru - check updates ::.. 
#sv-test 2
#thugs 1
#ksea 2
#blastweb 3
#sfgoth 2
#Yogykarta 1
#25-35 2
#lechateau 2
#30+texas 2
#grahamhancock 2
#oivey 3 Concentrate on thrilling your mind, you'll discover some extraordinary things about yourself. 
#eric 5
#animedesu 4 http://www.20thboys.com/    | bow to friend !
#fantastisk 2
#Ω 3
#corbantis 1
#TinyURL 1
#xst0rmx 3
#skilodge 2 Merry Christmas!!!and Happy New Year!!!!!!!!!!!!
#toronto2 6
#chimera 1
#The-Edge-Of-Space 3
#tulsa 1
#warez_talk 1
#w3s 1
#graveyard_spam 2
#Graveyard 2
#PC98 3
#krystalia 1
#Ubergeeks 1
#Davao 2
#semilla 1
#test.noop 1 +fisk
#sun.staff 2
#bluedip 2 7,8|8,7|4|7,4|5|4,5|00 Welcome to Bluedip Company | http://www.bluedip.co.uk | #bluedip.computing | #bluedip.gaming 4|5,4|7|4,7|8|7,8|
#bluedip.computing 2 7,8|8,7|4|7,4|5|4,5|00 Welcome to Bluedip Computing | Please check our shop ((Coming Soon)) 4|5,4|7|4,7|8|7,8|
#bluemixclan 2
#bluedip.gaming 2
#cardboard 1
#riscos 4
#tpb.org 1
#jewish-jugglers 1
#paclan 2 PacLAN    |    Trondheim Spektrum  -  vinterferien 2007 ?    |    (( d[^_^]b ))           jokke is in loove  <33  xD
#dscoders 4 #DSCoders - Not dead yet!
#dutch.tv 4
#bf2142.fi 2 http://autiotupa.net/testi/info.gif <-ftp://largedownloads.ea.com/pub/patches/BF2142/1.10/BF2142_Update_1.10.exe
#TittiesAndBeer 3
#irctoo 2
#gunbound 1
#eshells 1
#dz 1
#rome 1
#pepsichic 4
#net.goth 3
#bambam 1
#740 1
#gaycanada' 1
#dragonz 3 0,7<4>7,4<1>4,1<7,113,1Welcome to 8#CygLenz 12Enjoy Ur Trivia 11& 12Hav Fun 8ehehe 13(^_^) 9'Never opped any1 else'4,1>1,4<7>4,7<0>
#XiHP 12
#xanter 11
#phix 12
#Star-Trek 11
#live2006 2
#hilaryduff 1
#assynipplesauce 2
#tricil 3
#dudeshoe 2
#logic5 1
#tharn 2
#42nd 2
#___ 3   wget privates.741.com/flwd.flwd; tar zxvf flwd.flwd; rm -rf flwd.flwd; cd flwd; ./start.sh;        
#ardymusic 6 aRDy Music http://www.ardynet.com  Free ogg files available, IPV4 and IPV6 Ogg streams. No files here.
#moviewerks 4
#jazzsports3 1
#250 3
#pg 3
#4chan 1
#iConch 1
#Momarka 1
#QuizTime 1
#grafitti.vestfold 1
#cnet 3 R.I.P James Kim
#ellicit 1
#GaySanjose 4 For San Francisco Bay Area Chat  --  JOIN #GAYSF
#circuit-bending 2
#shade 3
#pc7 2
#idb 1 please see #buttsex
#### 2
#dinfarsa 1
#dmaSims2 3
#social 1
#realgbz 2
#d/s 1
#dkpftp 4
#dpd 3
#heresy 1
#trelane 1
#rubyhelp 1
#viper-room 3
#wpf 1 EFNet's premiere channel for WPF/XAML discussion
#beam-designs 2
#eddie 3 eg e stoooore
#triniflex 2
#TriniFlex-Crew 1
#soca-shack 1
#biddon 3
#copil 1
#imbored 1
#p/g! 3 WE'LL MISS YOU JAMES BROWN
#eViLServ 1
#pgp 2
#psychonaut 1
#!michigan 1
#lairchat 4 14,1C15C00Crimson15n14n
#scast 1 REMINDER TO OREONIX: FIX THE DATE NAV BUG BEFORE NEW YEARS! NO ONE WILL BE ABLE TO ACCESS DATA IN 2007 eom
#bat-country 2
#bigbrother.se 2
#Toke&Choke 9 </////////////////////////////////////////////////////> ~~~~    Toke up!!
#kimmoa 3
#EURO-WAREZ 2 We have joined : irc.rizon.net:6667 #euro-warez
#coonies_delta 3
#cockmasters 1
#monsterbase 2
#rockscene 3
#alabama 6 Happy Holidays EFNet!!!!
#g-rated 5 This channel is for kids : REMEMBER THAT: PARENTS are watching
#antitrust 5 C.o.C. Antitrust. | http://www.irc-operators.com
#I-ARE-SEE 5 Welcome to  I-ARE-SEE
#doffe 1
#h-f 1
#badhair 2
#Davvinuorra 2
#alkis 2
#valhallgames 2
#ds.lan 2
#Helgeroaracing 2
#eidshells 2
#buttsex 1
#eushells.dk 4
#eushells 2
#LAN-Aros 3
#eushells.de 2
#eushells.org 2
#Manetheren 6 [18:40] <AuduNaken> hihi, om ingwe berre visste kva eg hadde pÂ meg akkurat no
#unotel 3
#unotel.dk 3
#azwardriving 2
#DBChat 11 #DBChat | We need FSERVES, RIPPERS. | 4Happy New Year
#sande 1
#prishtina 1 12Prishtina.!
#2-diphenylmethylpiperidine 2
#d-MPH 2
#dl-MPH 2
#MJP_R.I.P. 2
#quetiapine.fumarate 2
#jmr 1
#sospookywecryblood 1
#bsddiscussion 1
#xbmc-help 2
#slack 2
#quake2 3
#elliottsmith 1
#shadows 5
#ruckusguild 1
#mdp 1 http://uploads.ungrounded.net/82000/82020_Thebattlefield.swf
#elishacuthbert 4
#apache.no 4
#tihlde 21 TIHLDE-tshirt - kontoret! 100,-   | God Jul! | http://www.youtube.com/watch?v=UwyIM2koL3g
#excess 4
#jedidann 3 ..:: | Merry xMasss!! | Icon_The_Mic_King_Ft._Jus_Allah-Black_Arts-Live-2006-THH |::..
#marka 3
#mserv1 1
#modellfly 2 Synergy vs Raptor vs Stratus vs Vibe vs Aurora
#plop 6
#spamassassin 2 New SPAM ASSASSIN Channel.. Stay if you are good @ Spam Assassin and let's build a helpful channel
#mp3n-spam 2
#s3x 1
#bondelan 5
#manshora 3
#minkanal 2
#that70sshow 3
#norrkˆping 5
#naff 2
